Code	Lat	Long	Tax
AJN	-12.1289	44.42886	
AJR	65.59204	19.26459	
AJS	26.83333	-113.667	
AJU	-10.9828	-37.076	
AJY	16.96522	7.997894	
AKA	32.7081	108.9312	
AKB	52.22222	-174.207	
AKC	41.04	-81.4678	
AKD	20.69742	77.06134	
AKE	-1.13967	13.9036	
AKF	24.17807	23.31398	
AKG	-3.63333	142.0167	
AKH	24.06333	47.58056	
AKI	60.90524	-161.227	
AKJ	43.66868	142.4514	
AKK	56.94444	-154.167	
AKL	-37.0089	174.7912	
AKM	10.88759	19.8153	
AKN	58.67532	-156.649	
AKO	40.17741	-103.227	
AKP	68.13254	-151.746	
AKQ	-4.61667	105.2333	
AKR	7.25	5.083333	
AKS	-8.7042	160.6818	
AKT	34.59037	32.98775	
AKU	41.2625	80.29167	
AKV	60.73333	-78.5833	
AKW	30.74386	49.67944	
AKX	50.24934	57.2114	
AKY	20.13028	92.88028	
ALA	43.35569	77.04258	
ALB	42.74575	-73.8092	
ALC	38.28883	-0.55429	
ALD	-11.6833	-69.3333	
ALE	30.41667	-103.75	
ALF	69.97716	23.35952	
ALG	36.70135	3.210903	
ALH	-34.9444	117.8096	
ALI	27.75	-98.0667	
ALJ	-28.5733	16.53444	
ALK	7.966667	39.11667	
ALL	44.05	8.216667	
ALM	32.84583	-105.985	
ALN	38.89167	-90.0483	
ALO	42.55611	-92.3997	
ALP	36.18535	37.22707	
ALQ	-29.7997	-55.7633	
ALR	-45.2139	169.3695	
ALS	37.43667	-105.867	
ALT	-1.93333	-54.7667	
ALU	11.96667	50.8	
ALW	46.09409	-118.291	
ALX	32.91343	-85.9625	
ALY	31.19255	29.95306	
ALZ	56.89583	-154.246	
AMA	35.21959	-101.702	
AMB	-13.1866	48.98761	
AMC	11.03501	20.2747	
AMD	23.08556	72.63054	5
AME	-15.8333	37.58333	
AMF	-4.16667	141.6667	
AMG	-4.61667	143.7	
AMH	6.036111	37.57694	
AMI	-8.56184	116.1022	
AMJ	-16.1833	-40.6833	
AMK	37.15	-107.75	
AML	8.266667	-82.8667	
AMM	31.7241	35.99544	
AMN	43.38333	-84.65	
AMO	14.11667	15.31667	
AMP	-24.6997	44.7342	
AMQ	-3.71112	128.0879	
AMR	7.033333	171.2333	
AMS	52.32698	4.741505	
AMT	-26.7667	132.0333	
AMU	-3.51667	141.15	
AMV	69.76342	61.56749	
AMW	41.99031	-93.6222	
AMX	-21.7383	135.242	
AMY	-17.6833	45.66667	
AMZ	-37.0333	174.9667	
ANA	33.81667	-117.933	
ANB	33.59028	-85.8558	
ANC	61.18104	-149.998	
AND	34.49361	-82.71	
ANE	47.46667	-0.55	
ANF	-23.4524	-70.4397	
ANG	45.73333	0.216667	
ANH	-8.98333	160.5	
ANI	61.58139	-159.543	
ANJ	-2.84741	13.82143	
ANK	39.95179	32.68941	
ANL	-11.25	17.25	
ANM	-14.9991	50.31825	
ANN	55.04158	-131.565	
ANO	-16.1837	39.94441	
ANP	38.98333	-76.5	
ANQ	41.63333	-85	
ANR	51.18814	4.463474	
ANS	-13.7091	-73.3516	
ANT	47.15	10.28333	
ANU	17.13579	-61.7938	
ANV	62.64511	-160.193	
ANW	42.55	-99.8667	
ANX	69.29133	16.13968	
ANY	37.15	-98.0333	
ANZ	-25.0833	132.1667	
AOA	-9.05	146.8	
AOB	-4.91667	144.65	
AOC	50.98321	12.50986	
AOD	11.46371	19.28748	
AOE	39.81	30.51944	
AOG	41.16667	123.0333	
AOH	40.76667	-84.1	
AOI	43.61716	13.36486	
AOJ	40.73405	140.6897	
AOK	35.4211	27.14533	
AOL	-29.6892	-57.151	
AOM	22.48981	57.39155	
AON	-6.33333	146	
AOO	40.29687	-78.3212	
AOP	-2.79521	-76.4682	
AOR	6.189348	100.3972	
AOS	57.47051	-153.817	
AOT	45.73878	7.368229	
AOU	14.8	106.8333	
APA	39.73333	-104.983	
APB	-14.7167	-68.5167	
APC	38.21649	-122.277	
APD	-4.46021	120.3068	
APE	-11.9333	-69.0833	
APF	26.15232	-81.7739	
APG	39.5	-76.1667	
APH	38.05	-77.35	
API	4.06889	-73.0519	
APJ	30.3975	81.13861	
APK	-15.4167	-146.083	
APL	-15.1017	39.28722	
APN	45.07018	-83.5666	
APO	7.817678	-76.7177	
APP	-8.97967	148.103	
APQ	-9.77657	-36.6298	
APR	-8.5	145	
APS	-16.3333	-48.9667	
APT	35.06667	-85.5	
APU	-23.55	-51.4833	
APV	34.52639	-117.213	
APW	-13.8323	-171.999	
APX	-23.4833	-51.4667	
APY	-9.13333	-45.9333	
